n;id;titulo;canal;enlace;fecha;anyo;mes;tipo
69;0tEZ_WxQyqI;Street Food in Peshawar - SUPERHUMAN Curry + 100 Egg BIGGEST Chapli Kebabs + Pakistani Street Food!;The Food Ranger;https://www.youtube.com/watch?v=0tEZ_WxQyqI;2019-05-05T14:00:01Z;2019;5;Comida
70;VFwk6_8mbis;[DISCOVERY EXPEDITION] 올 여름, 상상치 못한 즐거움의 바다로!;디스커버리 익스페디션 [DISCOVERY EXPEDITION];https://www.youtube.com/watch?v=VFwk6_8mbis;2019-05-17T00:33:24Z;2019;5;Evento
71;WNWjXj1C3ho;EPIC EID FEAST in Oman!!! Middle Eastern Traditional Shuwa Will Change Your Life!!!;Best Ever Food Review Show;https://www.youtube.com/watch?v=WNWjXj1C3ho;2019-05-22T12:31:31Z;2019;5;Comida
72;seMUW6pakbo;"REMOVING LOVE LOCKS FROM BRIDGES &amp; STATUES (Honest Guide)";HONEST GUIDE;https://www.youtube.com/watch?v=seMUW6pakbo;2019-05-12T16:59:02Z;2019;5;Evento
73;K1HxW5vc_lU;21 Things in the US That Puzzle Most Foreigners;BRIGHT SIDE;https://www.youtube.com/watch?v=K1HxW5vc_lU;2019-05-17T17:00:02Z;2019;5;Viaje
74;FlRwssZYRM0;10 Best Places to Visit in Italy - Travel Video;touropia;https://www.youtube.com/watch?v=FlRwssZYRM0;2019-05-03T22:40:53Z;2019;5;Viaje
75;fLt5cKJelis;How Katz’s Became The Most Legendary Deli In NYC  -  Legendary Eats;Insider Food;https://www.youtube.com/watch?v=fLt5cKJelis;2019-05-01T16:00:09Z;2019;5;Comida
76;Hs2LY5NYL0I;"Titanic Survivor Claims an Iceberg Didn&#39;t Destroy the Ship";BRIGHT SIDE;https://www.youtube.com/watch?v=Hs2LY5NYL0I;2019-06-14T11:00:02Z;2019;6;Evento
77;bKaVhXn49xY;75 000 h.p. The Biggest Nuclear Icebreaker;Timelab Pro;https://www.youtube.com/watch?v=bKaVhXn49xY;2019-06-12T08:43:46Z;2019;6;Evento
78;OyxWVJQUC18;"World Famous Hyderabadi CHICKEN BIRYANI  -  Biryani MAKING &amp; Tasting";Delhi Food Walks;https://www.youtube.com/watch?v=OyxWVJQUC18;2019-06-08T12:30:01Z;2019;6;Comida
79;0AoJddnJ6SA;A Plane Disappeared And Landed 37 Years Later;BRIGHT SIDE;https://www.youtube.com/watch?v=0AoJddnJ6SA;2019-06-27T15:00:01Z;2019;6;Evento
80;-7nvbzLCM_Q;Japanese Street Food - Japanese Pancake DORAYAKI Jiggly Fluffy Cake;Sushi Bomber TV クッキング最前線;https://www.youtube.com/watch?v=-7nvbzLCM_Q;2019-06-08T09:00:00Z;2019;6;Comida
81;n0oH6yWdhiM;Boiling 10,000 Crawfish!!! Epic Louisiana Crawfish Throw Down in Cajun Country!!;Best Ever Food Review Show;https://www.youtube.com/watch?v=n0oH6yWdhiM;2019-06-16T12:32:06Z;2019;6;Comida
82;YmtIrYXlGRM;Why Pink Himalayan Salt Is So Expensive  -  So Expensive;Insider Business;https://www.youtube.com/watch?v=YmtIrYXlGRM;2019-06-01T15:00:04Z;2019;6;Comida
83;3wfvI4MhrUU;Enjoying Nature in Puerto Rico;Visit The USA;https://www.youtube.com/watch?v=3wfvI4MhrUU;2019-06-19T15:01:45Z;2019;6;Viaje
84;tMuCO-pe9Xw;"Huge Salmon Fish Cutting &amp; Sashimi │ Garak Fish Market, Seoul Korea │ Seafood in Korea";궁금한미식가 QriousGourmet;https://www.youtube.com/watch?v=tMuCO-pe9Xw;2019-06-21T10:00:19Z;2019;6;Comida
85;aPq0fbnYPOE;Confronting an Indian SCAMMER (How to Buy REAL Cashmere);Karl Rock;https://www.youtube.com/watch?v=aPq0fbnYPOE;2019-07-01T06:30:54Z;2019;6;Evento
86;0GZSfBuhf6Y;25 Best Places to Visit in Europe - Travel Europe;touropia;https://www.youtube.com/watch?v=0GZSfBuhf6Y;2019-06-11T13:56:59Z;2019;6;Viaje
87;Au3QBbuyc2M;Amazing Bhutan: Free Healthcare, No Homeless People, No Traffic Lights;BRIGHT SIDE;https://www.youtube.com/watch?v=Au3QBbuyc2M;2019-06-18T15:00:01Z;2019;6;Viaje
88;BdFJ5k7hxsY;Gumbo Queen and Cocaine Donuts!!! New Orleans Wildest Creole Cooking!;Best Ever Food Review Show;https://www.youtube.com/watch?v=BdFJ5k7hxsY;2019-06-23T12:30:03Z;2019;6;Comida
89;9wuSvH7VJWQ;Sailing Miami Style - S4:E07;Sailing Doodles;https://www.youtube.com/watch?v=9wuSvH7VJWQ;2019-06-22T12:00:47Z;2019;6;Viaje
90;4m4UxbDgGhc;Day in the Life of a Japanese Car Repair Worker in Toyota;Paolo fromTOKYO;https://www.youtube.com/watch?v=4m4UxbDgGhc;2019-06-14T23:59:30Z;2019;6;Evento
91;J2fYGFTuMCA;Holland America Line Voted Best Alaska Cruise;Holland America Line;https://www.youtube.com/watch?v=J2fYGFTuMCA;2019-07-31T16:58:51Z;2019;7;Viaje
92;aPq0fbnYPOE;Confronting an Indian SCAMMER (How to Buy REAL Cashmere);Karl Rock;https://www.youtube.com/watch?v=aPq0fbnYPOE;2019-07-01T06:30:54Z;2019;7;Evento
93;6tmjXp_AYg0;Day in the Life of an Average Japanese Salaryman in Tokyo;Paolo fromTOKYO;https://www.youtube.com/watch?v=6tmjXp_AYg0;2019-07-06T00:00:34Z;2019;7;Evento
94;Ux89PPGyxJQ;1,000 บาท กินชีสได้ 7 วันในเยอรมันมีอยู่จริง;Bearhug;https://www.youtube.com/watch?v=Ux89PPGyxJQ;2019-07-13T11:00:04Z;2019;7;Comida
95;sbYX4Lur4Yc;The Secrets of Antarctica;TRACKS - Travel Documentaries;https://www.youtube.com/watch?v=sbYX4Lur4Yc;2019-07-09T20:00:13Z;2019;7;Viaje
96;b7FNvq11CEw;25 Best Places to Visit in the USA - Travel Video;touropia;https://www.youtube.com/watch?v=b7FNvq11CEw;2019-07-03T14:12:17Z;2019;7;Viaje
97;DHVO4KeFCXY;The Best Chocolate Chip Cookie In NYC  -  Best Of The Best;Insider Food;https://www.youtube.com/watch?v=DHVO4KeFCXY;2019-07-20T15:58:48Z;2019;7;Comida
98;JguUVIpFRg4;Why Puffer Fish Is So Expensive  -  So Expensive;Insider Business;https://www.youtube.com/watch?v=JguUVIpFRg4;2019-07-20T15:00:06Z;2019;7;Comida
99;FMcR8dx8z-U;Catching and COOKING Florida’s MOST Dangerous Killer! (HAND CAUGHT!!!);Best Ever Food Review Show;https://www.youtube.com/watch?v=FMcR8dx8z-U;2019-07-17T12:25:19Z;2019;7;Comida
100;hG28fQE_2A8;"Why Japanese Don&#39;t Like Foreigners";Paolo fromTOKYO;https://www.youtube.com/watch?v=hG28fQE_2A8;2019-07-20T00:00:04Z;2019;7;Viaje
101;f5lKanUYXR8;Non Vegetarian FEAST At RANGANNA MILITARY HOTEL - Famous Mutton Pulao, Kheema Gojju, Mudde  - Bangalore;Food Lovers TV;https://www.youtube.com/watch?v=f5lKanUYXR8;2019-07-10T06:00:20Z;2019;7;Comida
102;SZp1Q6LX7Wk;🔴 Cuxhaven WetterCam Kamp Hotels Cuxhaven-Duhnen;OrniTech LiveCam;https://www.youtube.com/watch?v=SZp1Q6LX7Wk;2019-07-09T15:42:22Z;2019;7;Evento
103;gIwUy3Twqfw;สุดยอดมื้ออาหาร 10,000 แคล แถวนี้เค้ากินเค็ม;Bearhug;https://www.youtube.com/watch?v=gIwUy3Twqfw;2019-07-15T14:30:22Z;2019;7;Comida
104;dk6eVsJFz5w;MEGA VANLIFE TOUR  -  4x4 Overland Off Road Airstream B190 Ujoint RV Conversion Motor Home;New Jersey Outdoor Adventures;https://www.youtube.com/watch?v=dk6eVsJFz5w;2019-07-13T23:47:14Z;2019;7;Viaje
105;JlqFDKYDjmI;"What&#39;s Wrong with My Wife?";Karl Rock;https://www.youtube.com/watch?v=JlqFDKYDjmI;2019-07-08T06:30:02Z;2019;7;Evento
106;X6Oaruks5Lk;Eating with the World’s Most Isolated Tribe!!! The Tree People of Papua, Indonesia!!;Best Ever Food Review Show;https://www.youtube.com/watch?v=X6Oaruks5Lk;2019-08-21T12:25:32Z;2019;8;Comida
107;MEDlqEVpPn8;Greatest Omurice Artist,Omelet Rice - Kyoto Japan;Ante;https://www.youtube.com/watch?v=MEDlqEVpPn8;2019-08-15T10:06:12Z;2019;8;Comida
108;4PGNRgOK8sE;Riding through California;Visit The USA;https://www.youtube.com/watch?v=4PGNRgOK8sE;2019-08-13T17:11:00Z;2019;8;Viaje
109;B5pKw6flFZE;Day in the Life of a Japanese Ramen Chef;Paolo fromTOKYO;https://www.youtube.com/watch?v=B5pKw6flFZE;2019-08-02T23:59:15Z;2019;8;Evento
110;_QY4V5qEesg;Derby Fashion in Kentucky;Visit The USA;https://www.youtube.com/watch?v=_QY4V5qEesg;2019-08-13T17:24:02Z;2019;8;Evento
111;YD-HSifUN2I;"Flying With LUFTHANSA In All Four Classes: First Class, Business, Premium &amp; Economy";The Points Guy  -  Departures;https://www.youtube.com/watch?v=YD-HSifUN2I;2019-08-23T16:08:05Z;2019;8;Viaje
112;5dqrOSk-Wyk;"Rick Steves&#39; Cruising the Mediterranean";Rick Steves' Europe;https://www.youtube.com/watch?v=5dqrOSk-Wyk;2019-08-02T17:41:20Z;2019;8;Viaje
113;r1ZLGqL1FMo;Why Japan Arrests Foreigners;Paolo fromTOKYO;https://www.youtube.com/watch?v=r1ZLGqL1FMo;2019-08-16T23:58:43Z;2019;8;Evento
114;hmIa2SGpm6s;"Spending 3 Days in The World&#39;s Strangest City";Drew Binsky;https://www.youtube.com/watch?v=hmIa2SGpm6s;2019-08-17T20:52:43Z;2019;8;Viaje
115;ZluP0497uEY;EP 13 Complete Guide Shri Kedarnath Dham Yatra  -  Sonprayag to Kedarnath JI 17 km;visa2explore;https://www.youtube.com/watch?v=ZluP0497uEY;2019-08-04T02:30:02Z;2019;8;Viaje
116;IbB80gc_EuY;Bistecca alla Fiorentina - Steakhouse in Italy;Aden Films;https://www.youtube.com/watch?v=IbB80gc_EuY;2019-08-10T20:43:31Z;2019;8;Comida
117;vEn-tZa1vAQ;LEGENDARY Texas BBQ! BEST Beef Brisket  -  Franklins vs. Terry Black’s in Austin Texas  -  5 HOUR WAIT!;Strictly Dumpling;https://www.youtube.com/watch?v=vEn-tZa1vAQ;2019-08-04T22:00:04Z;2019;8;Comida
118;7toSikYGFNM;The Best Pizza In Naples  -  Best Of The Best;Insider Food;https://www.youtube.com/watch?v=7toSikYGFNM;2019-08-31T16:00:11Z;2019;8;Comida
119;pqr7EmlUyQ4;Day in the Life of a Japanese Master Chef;Paolo fromTOKYO;https://www.youtube.com/watch?v=pqr7EmlUyQ4;2019-08-23T23:59:24Z;2019;8;Evento
120;7L7OcbqhKYc;20 Things Can’t Be Seen Anywhere But in Japan;BRIGHT SIDE;https://www.youtube.com/watch?v=7L7OcbqhKYc;2019-08-12T03:00:02Z;2019;8;Viaje
121;v_fJ4fm0ewQ;How To Escape Quicksand + Make The World’s Fluffiest Omelette In France  -  Travel Dares S2 Ep 1;Insider;https://www.youtube.com/watch?v=v_fJ4fm0ewQ;2019-09-03T17:00:12Z;2019;9;Comida
122;_99j7enoIbc;E03: Magia invernal en la ciudad de Quebec  -  El Llamado a Dejarse Llevar;Bonjour Québec;https://www.youtube.com/watch?v=_99j7enoIbc;2019-09-10T15:50:44Z;2019;9;Viaje
123;2NutfCHAyNM;What Cheese Looks Like Around The World;Insider Food;https://www.youtube.com/watch?v=2NutfCHAyNM;2019-10-01T20:00:02Z;2019;9;Comida
124;O82o15Asq54;Day in the Life of a Typical Japanese Cosplay Worker;Paolo fromTOKYO;https://www.youtube.com/watch?v=O82o15Asq54;2019-09-27T23:59:23Z;2019;9;Evento
125;1a7f9wzOfWk;How Swiss Emmentaler Cheese Is Made  -  Regional Eats;Insider Food;https://www.youtube.com/watch?v=1a7f9wzOfWk;2019-09-25T16:00:11Z;2019;9;Comida
126;49FFwqAVxlg;Cocos Island - The mysterious island in the Pacific;Free High-Quality Documentaries;https://www.youtube.com/watch?v=49FFwqAVxlg;2019-09-03T15:05:27Z;2019;9;Viaje
127;#¿NOMBRE?;"Brad and Matty Matheson Go Noodling for Catfish Part 1  -  It&#39;s Alive  -  Bon Appétit";Bon Appétit;https://www.youtube.com/watch?v=-JkcZRBUNtw;2019-09-19T16:02:01Z;2019;9;Comida
128;e1Qf3dV32Ew;Discover Ohio;Visit The USA;https://www.youtube.com/watch?v=e1Qf3dV32Ew;2019-09-05T16:32:16Z;2019;9;Viaje
129;eDgUNT3ikco;The Best Doughnuts In Los Angeles  -  Best Of The Best;Insider Food;https://www.youtube.com/watch?v=eDgUNT3ikco;2019-09-21T16:00:07Z;2019;9;Comida
