n;id;titulo;canal;enlace;fecha;anyo;mes;posicion;cat;deporte
92;ArEf9NCvxjM;Definir y marcar abdomen bajo | Abdominales 10 minutos en casa;gymvirtual;https://www.youtube.com/watch?v=ArEf9NCvxjM;2019-07-15T15:58:47Z;2019;7;2;17;Fitness
93;dRGQDubSAqw;Artistic Swimming - Full Team Event from Rio 2016 | Throwback Thursday;Olympics;https://www.youtube.com/watch?v=dRGQDubSAqw;2019-07-18T11:00:10Z;2019;7;3;17;Natación
94;TjiCXhGuLgw;2019 British Grand Prix: Race Highlights;FORMULA 1;https://www.youtube.com/watch?v=TjiCXhGuLgw;2019-07-14T16:47:21Z;2019;7;4;17;Automovilismo
95;zEmXFGU84W0;Abdomen plano | Rutina para aplanar y tonificar el vientre;gymvirtual;https://www.youtube.com/watch?v=zEmXFGU84W0;2019-07-30T16:00:10Z;2019;7;5;17;Fitness
96;RmvZyC6s_Wk;"Verstappen And Leclerc&#39;s Epic Silverstone Battle | 2019 British Grand Prix";FORMULA 1;https://www.youtube.com/watch?v=RmvZyC6s_Wk;2019-07-16T09:15:02Z;2019;7;6;17;Automovilismo
97;ZacOS8NBK6U;Why the Tour de France is so brutal;Vox;https://www.youtube.com/watch?v=ZacOS8NBK6U;2019-07-25T12:00:07Z;2019;7;7;17;Ciclismo
98;kZU7y2FeTE8;RUTINA DE EJERCICIOS DE BRAZOS, HOMBROS Y PECHO | ADELGAZA BRAZO Y ESPALDA;gymvirtual;https://www.youtube.com/watch?v=kZU7y2FeTE8;2019-07-10T16:00:12Z;2019;7;8;17;Fitness
99;HXBDQpknrZw;Maria Kanellis claims she is pregnant during Mixed Tag Team Match: Raw, July 1, 2019;WWE;https://www.youtube.com/watch?v=HXBDQpknrZw;2019-07-02T04:22:55Z;2019;7;9;17;Lucha libre
100;oQx3SKGN3Rs;"Russell Westbrook BEST &amp; MOST VICIOUS Dunks of His Career! A MUST SEE MONTAGE!";House of Highlights;https://www.youtube.com/watch?v=oQx3SKGN3Rs;2019-07-20T22:55:45Z;2019;7;10;17;Baloncesto
101;I1ertAfrClU;7 Exercises for Men to Build a Big Strong Neck;BRIGHT SIDE;https://www.youtube.com/watch?v=I1ertAfrClU;2019-07-29T11:00:02Z;2019;7;11;17;Fitness
102;hNCjnwKEea4;90 minutos con Pep Guardiola;GOL PLAY;https://www.youtube.com/watch?v=hNCjnwKEea4;2019-07-24T15:20:49Z;2019;7;12;17;Fútbol
103;3mDQKMd4P3E;"The Rock and Roman Reigns talk about family and “Hobbs &amp; Shaw”";WWE;https://www.youtube.com/watch?v=3mDQKMd4P3E;2019-07-31T16:06:33Z;2019;7;13;17;Lucha libre
104;NWanv2PUpqE;TOP 25 GOALS James Rodríguez en LaLiga Santander;LaLiga Santander;https://www.youtube.com/watch?v=NWanv2PUpqE;2019-07-29T10:54:12Z;2019;7;14;17;Fútbol
105;iGMaIxqcSpU;Aprender ATAQUES BÁSICOS en Krav Maga - TUTORIAL EN ESPAÑOL;DeportesUncomo;https://www.youtube.com/watch?v=iGMaIxqcSpU;2019-07-09T17:30:00Z;2019;7;15;17;Artes marciales mixtas
106;4x678Pwpk6A;Impossible Climb Arette | Modified Monster Bikes | Hill Climb;Enduro Life Media;https://www.youtube.com/watch?v=4x678Pwpk6A;2019-08-24T17:07:56Z;2019;8;1;17;Motociclismo
107;BLLFns51FBU;Top 5 closest finishes in MotoGP™️!;MotoGP;https://www.youtube.com/watch?v=BLLFns51FBU;2019-08-27T14:55:01Z;2019;8;2;17;Motociclismo
108;BRCs7yX372Y;First team presentation for the coming 2019 - 2020 season;FC Barcelona;https://www.youtube.com/watch?v=BRCs7yX372Y;2019-08-04T19:12:00Z;2019;8;3;17;Fútbol
109;EA4brrP24-o;BRASIL 🇧🇷 PENTACAMPEÓN 🏆 del MUNDO 🌟;Forza Champions;https://www.youtube.com/watch?v=EA4brrP24-o;2019-08-01T17:00:03Z;2019;8;4;17;Fútbol
110;2fdp8SVOSF4;Simone Biles Stuns With New Triple Double on Floor | Champions Series Presented By Xfinity;Team USA;https://www.youtube.com/watch?v=2fdp8SVOSF4;2019-08-12T04:31:27Z;2019;8;5;17;Gimnasia
111;YjjLw4qypw0;What Goes into Feeding an NFL Team?;NFL;https://www.youtube.com/watch?v=YjjLw4qypw0;2019-08-10T01:00:04Z;2019;8;6;17;Fútbol americano
112;Py1M7x5pGF4;Reducir abdomen | Cintura de avispa | GymVirtual;gymvirtual;https://www.youtube.com/watch?v=Py1M7x5pGF4;2019-08-26T16:00:06Z;2019;8;7;17;Fitness
113;wZnCcqm_g-E;Roger Federer vs Rafael Nadal | Wimbledon 2019 | Full Match;Wimbledon;https://www.youtube.com/watch?v=wZnCcqm_g-E;2019-08-01T13:03:17Z;2019;8;8;17;Tenis
114;gdoDrofgD3U;10 Times The MSN Trio Impressed The World ► Messi - Suárez - Neymar;Messi TheBoss;https://www.youtube.com/watch?v=gdoDrofgD3U;2019-08-28T21:57:27Z;2019;8;9;17;Fútbol
115;iXwbC1EemF4;When Steph Curry BECAME THE UNANIMOUS MVP! BEST Highlights from 2015-16 MVP Season!;House of Highlights;https://www.youtube.com/watch?v=iXwbC1EemF4;2019-08-24T15:22:20Z;2019;8;10;17;Baloncesto
116;bEwahaCI6EM;Endurecer glúteos, abdomen y piernas | Rutina GAP;gymvirtual;https://www.youtube.com/watch?v=bEwahaCI6EM;2019-08-05T16:00:12Z;2019;8;11;17;Fitness
117;_RqteZDjDmQ;"James Harden&#39;s Top 30 Plays of His NBA Career";NBA;https://www.youtube.com/watch?v=_RqteZDjDmQ;2019-08-26T19:00:05Z;2019;8;12;17;Baloncesto
118;hBbVxJNwEFY;"When Kyrie Irving Reached His PEAK! VERY BEST Career Highlights &amp; Plays with the Cavaliers!";House of Highlights;https://www.youtube.com/watch?v=hBbVxJNwEFY;2019-08-17T19:57:15Z;2019;8;13;17;Baloncesto
