N;Logo;Channel;Watch time (mins);Stream time (mins);Peak viewers;Average viewers;Followers;Partnered;Mature;Language;mes;anyo
11;https://static-cdn.jtvnw.net/jtv_user_pictures/43104eca-7a4f-4629-bbef-f054c9011911-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;drift_the_page;26430;1635;66;16;159;false;false;Spanish;8;2020
12;https://static-cdn.jtvnw.net/jtv_user_pictures/0d2c2b1e-5c0a-42a4-b147-5550a8625224-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100;MexicoBadHombres;25950;1380;80;19;608;false;true;Spanish;8;2020
13;https://static-cdn.jtvnw.net/jtv_user_pictures/aac9d1e5-725e-438c-9cf3-ac75ba1a8991-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;RealMadrid;23685;60;467;395;33999;true;false;Spanish;8;2020
14;https://static-cdn.jtvnw.net/jtv_user_pictures/0781903b-ec91-4584-87e6-7f23112b37aa-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;Eddyyzz;20865;15;1391;1391;100614;false;true;Spanish;8;2020
15;https://static-cdn.jtvnw.net/jtv_user_pictures/e570a21e-2c76-47da-ba60-532cc917a6b0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;RobinSure;13875;540;38;26;168;false;true;Spanish;8;2020
16;https://static-cdn.jtvnw.net/jtv_user_pictures/efda1a9f-d377-4823-8dfd-4351c43e7cad-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;TomateKing;10545;120;138;88;15103;true;true;Spanish;8;2020
17;https://static-cdn.jtvnw.net/jtv_user_pictures/ca4a0be0-63a9-4a42-927a-0ec4c48a85f7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;hersimmar;8610;90;108;96;8910;false;false;Spanish;8;2020
18;https://static-cdn.jtvnw.net/jtv_user_pictures/52f789d2-4b28-4b53-8775-05054c35dd0a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;jotakronks;8235;45;411;183;56;false;false;Spanish;8;2020
19;https://static-cdn.jtvnw.net/jtv_user_pictures/56a19486-7514-40e4-831a-4358c60b11f2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;MalonESPORTS;7695;180;55;43;83;false;false;Spanish;8;2020
20;https://static-cdn.jtvnw.net/jtv_user_pictures/08464cde-3133-4b42-a6bc-92058493468c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;GambetaLP;7380;1755;14;4;22;false;false;Spanish;8;2020
21;https://static-cdn.jtvnw.net/jtv_user_pictures/1f7fcaac-4f59-4154-afad-483f794c8f2a-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100;internetvfutbol;7335;120;101;61;849;true;false;Spanish;8;2020
22;https://static-cdn.jtvnw.net/jtv_user_pictures/d8a7c0b2-4b9d-432b-afb9-1e97f3ce1e52-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100;EstebanGtz;6570;45;154;146;13932;true;false;Spanish;8;2020
23;https://static-cdn.jtvnw.net/jtv_user_pictures/d82bb060-abbb-46d4-9902-b2310937e986-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;teretime;5985;390;25;15;117;false;true;Spanish;8;2020
24;https://static-cdn.jtvnw.net/jtv_user_pictures/d28f64c3-c13d-47bb-968c-b08d733cce2b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;donelem;4335;90;161;48;31;false;false;Spanish;8;2020
25;https://static-cdn.jtvnw.net/jtv_user_pictures/ac9a0faf-2499-4f3e-b35b-1f346b89ce9f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;JEFE_DEL_SUR;4320;210;33;21;110;false;false;Spanish;8;2020
26;https://static-cdn.jtvnw.net/user-default-pictures-uv/75305d54-c7cc-40d1-bb9c-91fbe85943c7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100;rockdrigo1;3930;690;10;6;16;false;false;Spanish;8;2020
