n;id;titulo;canal;enlace;fecha;anyo;mes;posicion;cat;deporte
71;oSTKXmXVl0Q;MINECRAFT: TRAMPA NOOB vs PRO vs HACKER vs DIOS ???? ¿QUIÉN ESCAPARÁ DE LAS TRAMPAS? COMPAS;invictor;https://www.youtube.com/watch?v=oSTKXmXVl0Q;2019-05-26T16:35:18Z;2019;5;11;20;Minecraft
72;OFYO4SOY7lg;Tenemos que salvar a Peach! NEW SUPER MARIO BROS. U DELUXE;Jugando con Edu;https://www.youtube.com/watch?v=OFYO4SOY7lg;2019-05-01T13:28:22Z;2019;5;12;20;Super Mario Bros
73;BHRlWKrK-Bs;Playing As IRON MAN In GTA 5! (Mods);Jelly;https://www.youtube.com/watch?v=BHRlWKrK-Bs;2019-05-19T17:09:12Z;2019;5;13;20;GTA 5
74;dsTA7NOVPKI;MINECRAFT: LADRÓN NOOB VS PRO VS HACKER VS DIOS ???? ROBAMOS EL GRAN BANCO EN MINECRAFT;invictor;https://www.youtube.com/watch?v=dsTA7NOVPKI;2019-05-06T22:10:54Z;2019;5;14;20;Minecraft
75;WkHNDXInWJs;LA RULETA VOLADORA *LOOT ALEATORIO* (FORTNITE MINIJUEGOS);VEGETTA777;https://www.youtube.com/watch?v=WkHNDXInWJs;2019-05-15T21:26:45Z;2019;5;15;20;Fortnite
76;Yp-VBg3LFqY;50 Ways To Mess With Your Friends In Minecraft;Grian;https://www.youtube.com/watch?v=Yp-VBg3LFqY;2019-06-23T21:08:21Z;2019;6;1;20;Minecraft
77;Mdf9OcCHDpM;!LA RULETA DE LOS CARROS EN MINECRAFT! ???? CARRO NOOB VS CARRO PRO (MINECRAFT MODS);ElTrollino;https://www.youtube.com/watch?v=Mdf9OcCHDpM;2019-06-16T15:43:09Z;2019;6;2;20;Minecraft
78;7iYdbqWc3e4;¡SI TE RÍES PIERDES NIVEL STICK FIGHT 2! ???? MIKECRACK STICK FIGHT #2;Mikecrack;https://www.youtube.com/watch?v=7iYdbqWc3e4;2019-06-24T01:47:36Z;2019;6;3;20;Stick Fight
79;xIR-ZwQqKkc;TIMBA SE HIZO CACA EN LA ESCUELA!! ???? MINECRAFT MODS ANIMACIÓN;ElTrollino;https://www.youtube.com/watch?v=xIR-ZwQqKkc;2019-06-03T22:27:50Z;2019;6;4;20;Minecraft
80;E1Wm4KnIDkU;¡¿NOS TRAICIONAMOS UNOS A OTROS?! ?? MIKECRACK EL TRAIDOR DEFINITIVO DE MURDER MYSTERY #15;Mikecrack;https://www.youtube.com/watch?v=E1Wm4KnIDkU;2019-06-10T06:10:05Z;2019;6;5;20;Murder Mystery
