N;titulo;canal;País;Tipo;id;enlace;date;anyo;mes
69;Street Food in Peshawar - SUPERHUMAN Curry + 100 Egg BIGGEST Chapli Kebabs + Pakistani Street Food!;The Food Ranger;Pakistán;Comida;0tEZ_WxQyqI;https://www.youtube.com/watch?v=0tEZ_WxQyqI;2019-05-05T14:00:01Z;2019;5
70;[DISCOVERY EXPEDITION] 올 여름, 상상치 못한 즐거움의 바다로!;디스커버리 익스페디션 [DISCOVERY EXPEDITION];Corea del Sur;Evento;VFwk6_8mbis;https://www.youtube.com/watch?v=VFwk6_8mbis;2019-05-17T00:33:24Z;2019;5
71;EPIC EID FEAST in Oman!!! Middle Eastern Traditional Shuwa Will Change Your Life!!!;Best Ever Food Review Show;Omán;Comida;WNWjXj1C3ho;https://www.youtube.com/watch?v=WNWjXj1C3ho;2019-05-22T12:31:31Z;2019;5
72;"REMOVING LOVE LOCKS FROM BRIDGES &amp; STATUES (Honest Guide)";HONEST GUIDE;Varios países;Evento;seMUW6pakbo;https://www.youtube.com/watch?v=seMUW6pakbo;2019-05-12T16:59:02Z;2019;5
73;21 Things in the US That Puzzle Most Foreigners;BRIGHT SIDE;Estados Unidos;Viaje;K1HxW5vc_lU;https://www.youtube.com/watch?v=K1HxW5vc_lU;2019-05-17T17:00:02Z;2019;5
74;10 Best Places to Visit in Italy - Travel Video;touropia;Italia;Viaje;FlRwssZYRM0;https://www.youtube.com/watch?v=FlRwssZYRM0;2019-05-03T22:40:53Z;2019;5
75;How Katz’s Became The Most Legendary Deli In NYC  -  Legendary Eats;Insider Food;Estados Unidos;Comida;fLt5cKJelis;https://www.youtube.com/watch?v=fLt5cKJelis;2019-05-01T16:00:09Z;2019;5
76;"Titanic Survivor Claims an Iceberg Didn&#39;t Destroy the Ship";BRIGHT SIDE;Varios países;Evento;Hs2LY5NYL0I;https://www.youtube.com/watch?v=Hs2LY5NYL0I;2019-06-14T11:00:02Z;2019;6
77;75 000 h.p. The Biggest Nuclear Icebreaker;Timelab Pro;Rusia;Evento;bKaVhXn49xY;https://www.youtube.com/watch?v=bKaVhXn49xY;2019-06-12T08:43:46Z;2019;6
78;"World Famous Hyderabadi CHICKEN BIRYANI  -  Biryani MAKING &amp; Tasting";Delhi Food Walks;India;Comida;OyxWVJQUC18;https://www.youtube.com/watch?v=OyxWVJQUC18;2019-06-08T12:30:01Z;2019;6
79;A Plane Disappeared And Landed 37 Years Later;BRIGHT SIDE;Varios países;Evento;0AoJddnJ6SA;https://www.youtube.com/watch?v=0AoJddnJ6SA;2019-06-27T15:00:01Z;2019;6
80;Japanese Street Food - Japanese Pancake DORAYAKI Jiggly Fluffy Cake;Sushi Bomber TV クッキング最前線;Japón;Comida;-7nvbzLCM_Q;https://www.youtube.com/watch?v=-7nvbzLCM_Q;2019-06-08T09:00:00Z;2019;6
81;Boiling 10,000 Crawfish!!! Epic Louisiana Crawfish Throw Down in Cajun Country!!;Best Ever Food Review Show;Estados Unidos;Comida;n0oH6yWdhiM;https://www.youtube.com/watch?v=n0oH6yWdhiM;2019-06-16T12:32:06Z;2019;6
82;Why Pink Himalayan Salt Is So Expensive  -  So Expensive;Insider Business;Varios países;Comida;YmtIrYXlGRM;https://www.youtube.com/watch?v=YmtIrYXlGRM;2019-06-01T15:00:04Z;2019;6
83;Enjoying Nature in Puerto Rico;Visit The USA;Puerto Rico;Viaje;3wfvI4MhrUU;https://www.youtube.com/watch?v=3wfvI4MhrUU;2019-06-19T15:01:45Z;2019;6
84;"Huge Salmon Fish Cutting &amp; Sashimi │ Garak Fish Market, Seoul Korea │ Seafood in Korea";궁금한미식가 QriousGourmet;Corea del Sur;Comida;tMuCO-pe9Xw;https://www.youtube.com/watch?v=tMuCO-pe9Xw;2019-06-21T10:00:19Z;2019;6
85;Confronting an Indian SCAMMER (How to Buy REAL Cashmere);Karl Rock;India;Evento;aPq0fbnYPOE;https://www.youtube.com/watch?v=aPq0fbnYPOE;2019-07-01T06:30:54Z;2019;6
86;25 Best Places to Visit in Europe - Travel Europe;touropia;Europa;Viaje;0GZSfBuhf6Y;https://www.youtube.com/watch?v=0GZSfBuhf6Y;2019-06-11T13:56:59Z;2019;6
